papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
AALR3,22.63,-11.75,2.82,2.467,0.0,1.024,-13.79,-211.35,-2.33,-275.79,33.25,-0.011699999999999999,-0.2021,-0.0055000000000000005,-0.23989999999999997,0.71,10873900.0,949696000.0,1.09,0.0073
ABCB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1537,0.0,0.0,5205390000.0,0.0,0.2753
ABCB4,16.45,4.65,0.71,0.0,0.0659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1537,0.0,14748200.0,5205390000.0,0.0,0.2753
ABEV3,14.43,15.72,2.77,2.851,0.0528,1.647,-83.44,14.84,-13.52,14.08,10.37,0.19219999999999998,0.1868,0.15460000000000002,0.1764,0.93,437096000.0,81955600000.0,0.05,0.1331
ABYA3,4.91,-214.8,1.76,2.055,0.0,0.527,1.98,19.96,-2.75,33.67,33.67,0.10289999999999999,-0.0096,0.0278,-0.008199999999999999,2.09,0.0,292060000.0,1.31,0.1641
ACES3,95.27,8.79,2.28,1.693,0.0,1.438,6.4,7.2,20.77,6.54,6.54,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334
ACES4,94.73,8.74,2.27,1.683,0.0,1.43,6.37,7.16,20.65,6.5,6.5,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334
ADHM3,1.56,-4.09,-1.29,770.924,0.0,105.126,-1.43,-5.69,-1.27,-5.69,-5.81,-135.485,-188.606,5.2170000000000005,0.3147,0.0,2064.0,-19776000.0,0.0,0.43479999999999996
AEDU11,37.35,20.13,1.13,1.405,0.0,0.732,5.77,13.93,-7.31,16.14,10.82,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209
AEDU3,18.35,59.34,3.32,4.141,0.0,2.159,17.0,41.06,-21.55,43.27,29.01,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209
AELP3,1.93,8.49,-200.57,-0.062,0.0,5.216,0.0,-12.58,0.0,-11.94,-11.98,0.0049,-0.0073,0.0,-23.6383,0.0,0.0,-904000.0,0.0,0.0118
AERI3,1.16,-9.59,1.0,0.36,0.0,0.235,0.7,4.68,-3.04,8.66,6.76,0.07690000000000001,-0.037599999999999995,0.07980000000000001,-0.1048,1.95,7607810.0,884868000.0,2.05,0.057300000000000004
